Name,Team,PTS,REB,AST,STL,TO,PIR,2FG,3FG,FT,MIN
E. Okobo,AS Monaco,9,1,4,1,2,11,2/3,1/3,2/2,25:00
J. Blossomgame,AS Monaco,6,5,2,2,0,11,2/5,0/0,2/2,19:56
Y. Makoundou,AS Monaco,9,1,1,0,0,13,2/3,0/0,5/5,06:49
D. Michineau,AS Monaco,0,1,0,1,0,1,0/0,0/1,0/0,02:41
D. Theis,AS Monaco,17,2,1,1,2,18,7/7,0/0,3/5,15:55
A. Diallo,AS Monaco,13,4,4,2,1,15,4/6,1/2,2/2,23:24
K. Hayes,AS Monaco,12,2,2,0,1,13,4/6,0/0,4/4,15:38
T. Tarpey,AS Monaco,5,1,1,0,0,8,0/0,1/1,2/2,12:14
N. Nedovic,AS Monaco,3,2,1,0,0,2,1/2,0/3,1/1,13:16
M. Strazel,AS Monaco,12,2,5,3,1,21,3/3,1/5,3/3,23:23
N. Mirotic,AS Monaco,9,7,5,3,1,20,2/5,1/3,2/2,17:41
M. James,AS Monaco,7,2,6,0,1,13,1/2,0/3,5/5,24:03
R. Beaubois,Anadolu Efes Istanbul,0,0,0,0,0,0,0/0,0/0,0/0,00:00
S. Hazer,Anadolu Efes Istanbul,6,0,1,0,3,4,2/4,0/3,2/3,21:46
J. Loyd,Anadolu Efes Istanbul,13,1,5,0,4,12,2/3,2/4,1/5,25:11
N. Weiler-Babb,Anadolu Efes Istanbul,0,0,4,1,6,-1,0/2,0/4,1/3,26:14
I. Cordlinier,Anadolu Efes Istanbul,16,2,3,1,1,19,4/4,0/0,0/0,28:07
R. Smits,Anadolu Efes Istanbul,14,5,0,1,2,7,4/5,0/2,1/2,28:46
B. Dessert,Anadolu Efes Istanbul,0,0,1,0,3,-4,0/0,0/0,0/0,11:16
C. Swider,Anadolu Efes Istanbul,3,0,0,1,0,-1,0/0,1/1,0/0,07:50
D. Mutaf,Anadolu Efes Istanbul,2,0,1,0,0,1,1/1,0/1,0/0,05:05
E. Osmani,Anadolu Efes Istanbul,12,4,4,1,2,10,3/5,2/5,0/0,30:09
E. Yilmaz,Anadolu Efes Istanbul,2,3,0,0,0,4,1/1,0/0,0/0,07:22
K. Jones,Anadolu Efes Istanbul,2,1,0,0,0,4,1/1,0/0,0/0,08:14
